SV;Direzione;Sigla;Descrizione estesa;casella CC;
 49;STAFF DEL PRESIDENTE;STAFFP;Staff del Presidente;staffdelpresidente@rai.it;
 4A;CANALE IN LINGUA INGLESE;CLI;Canale In Inglese;CanaleInLinguaInglese@rai.it;
 50;AMMINISTRATORE DELEGATO;AD;**;amministratoredelegato@rai.it;
 52;RAIPLAY E DIGITAL;RPD;RaiPlay e Digital;raiplayedigital@rai.it;
 53;AMMINISTRAZIONE E FINANZA;FP-DAF;Amministrazione e Finanza;amministrazioneefinanza@rai.it;
 54;ACQUISTI;A;Acquisti;acquisti@rai.it;
 57;ASSET. IMMOBILIARI E SERVIZI;IISL-AIS;Asset Immobiliari e Servizi;assetimmobiliarieservizi@rai.it;
 58;COMUNICAZIONE;C;Comunicazione;cc_comunicazione@rai.it;
 59;DIREZ.EDIT.OFFERTA INFORMATIVA;DEOI;Direzione Editoriale per l'Offerta Informativa;direzioneeditorialeperloffertainformativa@rai.it;
 5A;DIREZIONE GENERALE CORPORATE;DGC;Direzione Generale Corporate;direzionegeneralecorporate@rai.it;
 5B;TRANSFORMATION OFFICE;TO;Transformation Office;transformation.office@rai.it;
 5C;INFRASTR. IMMOB.E SEDI LOCALI;IISL;Infrastrutture Immobiliari e Sedi Locali;infrastruttureimmobiliariesedilocali@rai.it;
 5D;RELAZ.INTERNAZ. AFFARI EUROPEI;RIAE;Relazioni Internazionali e Affari Europei;relazioni.internazionali@rai.it;
 5E;UFFICIO STUDI;US;Ufficio Studi;ufficiostudi@rai.it;
 5F;TECNOLOGIE;CTO-T;Tecnologie;tecnologie@rai.it;
 5G;PUBBLICA UTILITA';PU;Pubblica Utilità;pubblicautilita@rai.it;
 5H;COORDINAMENTO GENERI;CG;Coordinamento Generi;;
 5L;INTRATTENIMENTO PRIME TIME;IPT;Intrattenimento Prime Time;;
 5M;INTRATTENIMENTO DAY TIME;IDT;Intrattenimento Day Time;;
 5N;CULTURA ED EDUCATIONAL;CE;Cultura ed Educational;;
 5P;APPROFONDIMENTO;APP;Approfondimento;;
 5Q;FICTION;F;Fiction;;
 5R;CINEMA E SERIE TV;CSTV;Cinema e Serie Tv;;
 5S;DOCUMENTARI;DOC;Documentari;produzionedocumentari@rai.it;NOTA: variazione in corso a documentari@rai.it
 5T;KIDS;K;Kids;;
 5U;SVILUPPO NUOVI FORMATI;SNF;Sviluppo Nuovi Formati;svilupponuoviformati@rai.it;
 5V;DIREZIONE DISTRIBUZIONE;DIS;Distribuzione;distribuzione@rai.it;
 5Z;DIREZIONE RAI PER IL SOCIALE;SOC;Rai per il Sociale;raiperilsociale@rai.it;
 61;RAI GOLD;GOLD;Rai Gold;raigold@rai.it;
 62;RAI RAGAZZI;RAGAZZI;Rai Ragazzi;rairagazzi@rai.it;
 64;BOLZANO-SEDE REGIONALE;IISL-CSR;Coordinamento Sedi Regionali ed Estere;;
 71;MILANO - CENTRO DI PRODUZIONE;PTV-CPMI;CPTV Milano;cptvmilano@rai.it;
 72;RISORSE TELEVISIVE ARTISTICHE;RTA;Risorse Televisive e Artistiche;risorsetelevisiveeartistiche@rai.it;
 73;NAPOLI - CENTRO DI PRODUZIONE;PTV-CPNA;CPTV Napoli;cptvnapoli@rai.it;
 79;ROMA - CENTRO DI PRODUZIONE TV;PTV-CPRM;CPTV Roma;cptvroma@rai.it;
 80;GOVERNANCE E SEGRET.SOCIETARIA;GSS;Governance e Segreteria Societaria;governanceesegreteriasocietaria@rai.it;
 81;ORCHESTRA SINFONICA NAZIONALE;RC-OSN;Orchestra Sinfonica Nazionale;raicultura@rai.it;nota: potrebbe essere più utile individuare un'indirizzo di Torino della OSN
 82;TORINO - CENTRO DI PRODUZIONE;PTV-CPTO;CPTV Torino;cptvtorino@rai.it;
 88;DISTACCHI C/O RAI WAY;CO WAY;...;;
 89;PRIX ITALIA;PRIX;Prix Italia;ccprixitalia@rai.it;
 92;DISTACCHI C/O RAI PUBBLICITA';CO PUB;...;;
 95;DISTACCHI C/O RAI WORLD;CO WORLD;...;;
 96;DISTACCHI C/O RAI COM;CO COM;...;;
 97;DISTACCHI C/O RAI CINEMA;CO CINE;...;;
 B2;RAI WAY S.P.A.;RAIWAY;RAI Way S.p.A.;;
 C2;RAI CINEMA S.P.A.;RAICINE;RAI Cinema S.p.A.;;
 N2;RAI COM S.p.A.;RAICOM;RAI Com S.p.A.;;
